5-НОК  таб. п/обол. 50мг №50
АМИКАЦИН  0,5 в/в в/м 
АМИКАЦИН  0,5 в/в в/м 
АМИКАЦИН  0,5 в/в в/м 
АМИНАЗИН  амп. 2.5% 2мл №10
АМИНАЗИН  амп. 2.5% 2мл №10
АМИНОКАПРОНОВАЯ КИСЛОТА  фл. 5% 100мл
АМИНОКАПРОНОВАЯ КИСЛОТА  фл. 5% 100мл
АМИНОКАПРОНОВАЯ КИСЛОТА  фл. 5% 100мл
АМИНОКАПРОНОВАЯ КИСЛОТА  фл. 5% 100мл
АМИНОКАПРОНОВАЯ КИСЛОТА  фл. 5% 100мл
АМИНОКАПРОНОВАЯ КИСЛОТА  фл. 5% 100мл
АМИНОКАПРОНОВАЯ КИСЛОТА  фл. 5% 100мл
АМИНОПЛАЗМАЛЬ ГЕПА  фл. 10% - 500,0
АМИНОПЛАЗМАЛЬ ГЕПА  фл. 10% - 500,0
АМИНОПЛАЗМАЛЬ ГЕПА  фл. 10% - 500,0
АМИНОПЛАЗМАЛЬ ГЕПА  фл. 10% - 500,0
АМИНОПЛАЗМАЛЬ ГЕПА  фл. 10% - 500,0
АМИНОПЛАЗМАЛЬ ГЕПА  фл. 10% - 500,0
АМИНОПЛАЗМАЛЬ ГЕПА  фл. 10% - 500,0
АМИНОПЛАЗМАЛЬ Е  фл. 5%-500мл
АМИНОПЛАЗМАЛЬ Е  фл. 5%-500мл
АМИНОПЛАЗМАЛЬ Е  фл. 5%-500мл
АМИНОПЛАЗМАЛЬ Е  фл. 5%-500мл
АМИНОПЛАЗМАЛЬ Е  фл. 5%-500мл
АМИНОПЛАЗМАЛЬ Е  фл. 5%-500мл
АМИНОПЛАЗМАЛЬ Е  фл. 5%-500мл
АМИНОПЛАЗМАЛЬ Е  фл. 5%-500мл
АМИНОПЛАЗМАЛЬ Е  фл. 5%-500мл
АМИНОПЛАЗМАЛЬ Е  фл. 5%-500мл
АМИНОПЛАЗМАЛЬ Е  фл.10% - 500мл
АМИНОПЛАЗМАЛЬ Е  фл.10% - 500мл
АМИНОПЛАЗМАЛЬ Е  фл.10% - 500мл
АМИНОПЛАЗМАЛЬ Е  фл.10% - 500мл
АМИНОПЛАЗМАЛЬ Е  фл.10% - 500мл
АМИНОПЛАЗМАЛЬ Е  фл.10% - 500мл
АМИНОПЛАЗМАЛЬ Е  фл.10% - 500мл
АМИНОПЛАЗМАЛЬ Е  фл.10% - 500мл
АМИОДАРОН  таб.200мг №30
АМИОДАРОН  таб.200мг №30
АМИОДАРОН  таб.200мг №30
АМИТРИПТИЛИН **  таб. п/обол. 25мг №50
АМИТРИПТИЛИН **  таб. п/обол. 25мг №50
АМИТРИПТИЛИН **  таб. п/обол. 25мг №50
АМИТРИПТИЛИН **  таб. п/обол. 25мг №50
АМЛОДИПИН **  таб.  5мг №30
АМЛОДИПИН **  таб.  5мг №30
АМЛОДИПИН **  таб.10мг №20
АМЛОДИПИН **  тб 10мг №30
АМЛОДИПИН **  тб 10мг №30
АМЛОДИПИН **  тб 10мг №30
АМЛОДИПИН **  тб. 5мг №60
АМЛОДИПИН **  тб. 5мг №60
АМЛОДИПИН **  тб. 5мг №60
АММИАКА РАСТВОР **  фл. 10% 100мл
АММИАКА РАСТВОР **  фл. 10% 100мл
АМОКСИВАН  1,2мг р/р ддя в/в
АМОКСИКЛАВ  ** таб. 1г №14
АМОКСИКЛАВ  ** таб. 1г №14
АМОКСИКЛАВ  ** таб. 1г №14
АМОКСИКЛАВ  ** таб. 1г №14
АМОКСИКЛАВ  пор. д/ин. фл. 1.2мг №5 
АМОКСИКЛАВ  пор. д/ин. фл. 1.2мг №5 
АМОКСИКЛАВ  пор. д/ин. фл. 1.2мг №5 
АМОКСИКЛАВ  пор. д/ин. фл. 1.2мг №5 
АМОКСИКЛАВ  пор. д/ин. фл. 1.2мг №5 
АМОКСИКЛАВ  пор. д/ин. фл. 1.2мг №5 
АМОКСИЦИЛЛИН  капс. 500мг №16
АМОКСИЦИЛЛИН  капс. 500мг №16
АМОКСИЦИЛЛИН  капс. 500мг №16
АНАЛЬГИН  500мг таб. №20
АНАЛЬГИН  амп. 50% 2мл №10
АНАЛЬГИН  амп. 50% 2мл №10
АНАЛЬГИН  амп. 50% 2мл №10
АНАЛЬГИН  амп. 50% 2мл №10
АНАЛЬГИН  амп. 50% 2мл №10
АНАЛЬГИН  амп. 50% 2мл №10
АНАЛЬГИН  амп. 50% 2мл №10
АНАЛЬГИН  амп. 50% 2мл №10
АНАПРИЛИН  таб. 10мг №50
АНАПРИЛИН  таб. 40мг №50
АНАПРИЛИН  таб. 40мг №50
АНАТОКСИН  столб.очищ.(АС) 0,5мл/доза,амп.1,0мл(2дозы)№10
АНАТОКСИН ДИФТЕРИЙНО-СТОЛБНЯЧНЫЙ  очищ. адс. с уменьш.сод.антигенов  0,5мл/доза, в амп. 1 мл - 2 дозы 
АНАТОКСИН столбнячный  очищ. адс. жидкий (АС-анатоксин) 0,5 мл/доза, амп. 1мл - 2 дозы 
АНАФЕРОН  таб.№20
АНТИГРИППИН  таб. шип №30
АРБИДОЛ  капс. 100мг №40
АРДУАН *  амп. 4мг №25
АРДУАН *  амп. 4мг №25
АРДУАН *  амп. 4мг №25
АРДУАН *  амп. 4мг №25
АРДУАН *  амп. 4мг №25
АРДУАН *  амп. 4мг №25
АРИФОН  таб. п/обол. 2,5мг №30
АРИФОН  таб. п/обол. ретард 1,5мг №30
АРИФОН  таб. п/обол. ретард 1,5мг №30
АРКОКСИА  таб. п.п.об. 90 мг №28
АСКОРБИНОВАЯ КИСЛОТА  5%-2,0 амп.№10
АСКОРБИНОВАЯ КИСЛОТА  5%-2,0 амп.№10
АСКОРБИНОВАЯ КИСЛОТА  5%-2,0 амп.№10
АСКОРБИНОВАЯ КИСЛОТА  5%-2,0 амп.№10
АСКОРБИНОВАЯ КИСЛОТА  5%-2,0 амп.№10
АСКОРБИНОВАЯ КИСЛОТА  5%-2,0 амп.№10
АСКОРБИНОВАЯ КИСЛОТА  5%-2,0 амп.№10
АСКОРУТИН **  таб. №50
АСКОФЕН-П  табл., №10 
АСПАРКАМ **  L амп. 10мл №10
АСПАРКАМ **  L амп. 10мл №10
АСПАРКАМ **  L амп. 10мл №10
АСПАРКАМ **  L амп. 10мл №10
АСПАРКАМ **  таб. №50
АСПИРИН-С  таб. шип. №10
АТАРАКС  таб. п/обол. 25мг №25
АТАРАКС  таб. п/обол. 25мг №25
АТАРАКС  таб. п/обол. 25мг №25
АТАРАКС  таб. п/обол. 25мг №25
АТОРВАСТАТИН  40мг таб №30
АТОРВАСТАТИН  40мг таб №30
АТОРВАСТАТИН  40мг таб №30
АТОРВАСТАТИН  тб. п/о 10мг №30
АТОРВАСТАТИН  тб. п/о 10мг №30
АТОРВАСТАТИН  тб. п/о 10мг №30
АТОРВАСТАТИН  тб. п/о 10мг №30
АТОРВАСТАТИН  тб. п/о 20мг №30
АТОРВАСТАТИН  тб. п/о 20мг №30
АТОРВАСТАТИН  тб. п/о 20мг №30
АТОРВАСТАТИН  тб. п/о 20мг №30
АТОРВАСТАТИН  тб. п/о 20мг №30
АТОРИС  таб. п/обол. 10мг №30
АТОРИС  таб. п/обол. 20мг №30 
АТРОВЕНТ  р-р д/инг 25мг/мл 20мл
АТРОПИНА СУЛЬФАТ  амп. 0,1% 1мл №10
АТРОПИНА СУЛЬФАТ  амп. 0,1% 1мл №10
АТРОПИНА СУЛЬФАТ  амп. 0,1% 1мл №10
АТРОПИНА СУЛЬФАТ  амп. 0,1% 1мл №10
АТРОПИНА СУЛЬФАТ  амп. 0,1% 1мл №10
АФОБАЗОЛ  таб. 10мг №60
АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА **  таб. 500мг №10
АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА **  таб. 500мг №10
АЦЕТИЛСАЛИЦИЛОВАЯ КИСЛОТА **  таб. 500мг №20
АЦИКЛОВИР  ** таб. 200мг №20
АЦИКЛОВИР  ** таб. 200мг №20
АЦИКЛОВИР  ** таб. 200мг №20
АЦИКЛОВИР  ** тб. 0,4 №20
АЦИЛОК  25мг 2мл амп. №10
АЦИЛОК  25мг 2мл амп. №10
АЦИЛОК  25мг 2мл амп. №10
АЦИЛОК  25мг 2мл амп. №10
АЦИЛОК  25мг 2мл амп. №10
АЦЦ  200 гор.нап. №20
АЦЦ  200 гор.нап. №20
АЦЦ  200 гор.нап. №20
АЦЦ  200 гор.нап. №20
АЦЦ  200 гор.нап. №20
БАКПЕРАЗОН  пор.д/ин. фл.в/в и в/м 1г+1г №1
БАКПЕРАЗОН  пор.д/ин. фл.в/в и в/м 1г+1г №1
Бандаж голеностопный, эластичный  
Бандаж компрессионный фикс-й на локтевой сустав, вязаный  
Бандаж компрессионный фикс-й на плечевой сустав, повязка Дезо, черный  
БАНЕОЦИН  пор. 10г
БАНЕОЦИН  пор. 10г
БЕКЛАЗОН ЭКО  аэроз.250мкг/доза 200доз
БЕЛЛАТАМИНАЛ **  таб. п/обол. №30
БЕПАНТЕН  крем 5 % 100,0
БЕПАНТЕН  крем 5%-30гр.
БЕПАНТЕН  мазь 5 % 100гр
БЕПАНТЕН  мазь 5%-30,0
БЕПАНТЕН ПЛЮС  крем 5% 100г
БЕПАНТЕН ПЛЮС  крем 5% 100г
БЕРЛИТИОН  600мг/24мл №5
БЕРЛИТИОН  600мг/24мл №5
БЕРЛИТИОН  600мг/24мл №5
БЕРЛИТИОН  600мг/24мл №5
БЕРОДУАЛ  р-р д/инг. 0,25мг+0,5мг/мл 20мл
БЕРОДУАЛ  р-р д/инг. 0,25мг+0,5мг/мл 20мл
БЕРОДУАЛ  р-р д/инг. 0,25мг+0,5мг/мл 20мл
БЕРОДУАЛ  р-р д/инг. 0,25мг+0,5мг/мл 20мл
БЕРОДУАЛ  р-р д/инг. 0,25мг+0,5мг/мл 20мл
БЕРОДУАЛ  р-р д/инг. 0,25мг+0,5мг/мл 20мл
БЕРОДУАЛ  р-р д/инг. 0,25мг+0,5мг/мл 20мл
БЕРОДУАЛ Н  аэр. д/инг. 200доз 10мл
БЕРОТЕК Н  аэр. 100мкг/доза 200доз 10мл
БЕРОТЕК Н  аэр. 100мкг/доза 200доз 10мл
БЕТАГИСТИН  тб. 24мг №20
БЕТАГИСТИН  тб. 24мг №20
БЕТАГИСТИН  тб. 24мг №20
БЕТАГИСТИН  тб. 24мг №60
БЕТАДИН  мазь 10% 20г
БЕТАДИН  мазь 10% 20г
БЕТАЛОК  амп. 1мг\мл 5мл №5
БЕТАЛОК  амп. 1мг\мл 5мл №5
БЕТАЛОК  амп. 1мг\мл 5мл №5
БЕТАЛОК  амп. 1мг\мл 5мл №5
БЕТАЛОК  амп. 1мг\мл 5мл №5
БЕТАЛОК  амп. 1мг\мл 5мл №5
БЕТАЛОК ЗОК  таб.100мг №30
БЕТАЛОК ЗОК  таб.50мг №30
БЕТАЛОК ЗОК  таб.50мг №30
БЕТАЛОК ЗОК  таб.50мг №30
БЕТАСЕРК **  24мг №60
БЕТАСЕРК **  таб. 24мг N20
БИДОП **  КОР таб. 2,5мг №28
БИДОП **  таб. п/обол. 10мг №28
БИДОП **  таб. п/обол. 10мг №28
БИДОП **  тб. п/о 5мг №28
БИДОП КОР**  таб. 2.5мг №28
БИДОП КОР**  таб. 2.5мг №28
БИДОП КОР**  таб. 2.5мг №28
БИСАКОДИЛ **  св. №10
БИСАКОДИЛ **  св. №10
БИСАКОДИЛ **  супп. рект. 10мг №10
БИСАКОДИЛ **  таб. п/обол. 5мг №40
БИСАКОДИЛ **  таб. п/обол. 5мг №40
БИСЕПТОЛ  амп. 5мл №10
БИСЕПТОЛ  амп. 5мл №10
БИСЕПТОЛ  амп. 5мл №10
БИСОПРОЛОЛ  5мг таб п/об №30
БИСОПРОЛОЛ  5мг таб п/об №30
БИФИДУМБАКТЕРИН *  пакет. 5доз №30
БИФИДУМБАКТЕРИН *  пакет. 5доз №30
БИФИДУМБАКТЕРИН *  пакет. 5доз №30
БИФИФОРМ **  капс. №30
БЛЕОЦИН  пор. д/ин. фл. 15мг №1
БЛЕОЦИН  пор. д/ин. фл. 15мг №1
БРАЙДАН  в/в 2мл №10
БРАУНОДИН  р-р д/нар прим 7.5% 1000мл
БРАУНОДИН  р-р д/нар прим 7.5% 1000мл
БРАУНОДИН  р-р д/нар прим 7.5% 1000мл
БРАУНОДИН  р-р д/нар прим 7.5% 1000мл
БРАУНОДИН  р-р д/нар прим 7.5% 1000мл
БРАУНОДИН  р-р д/нар прим 7.5% 1000мл
БРИЛИНТА  табл. п.п/о 90мг №56
БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ **  1% фл 25мл
БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ **  1% фл 25мл
БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ **  1% фл 25мл
БРИЛЛИАНТОВЫЙ ЗЕЛЕНЫЙ **  фл. 1% 10мл
БУДЕНИТ СТЕРИ-НЕБ  0,25мг/мл 2мл №20
ВАЗЕЛИН **  бан. 25г
ВАЗЕЛИНОВОЕ МАСЛО **  фл. 100мл
ВАЗЕЛИНОВОЕ МАСЛО **  фл. 100мл
ВАЗЕЛИНОВОЕ МАСЛО **  фл. 100мл
ВАЗИЛИП  таб. п/обол. 10мг №28
ВАЗИЛИП  таб. п/обол. 10мг №28
ВАЗИЛИП  таб. п/обол. 20мг №28
ВАЗОБРАЛ   таб. №30
ВАЗОБРАЛ   таб. №30
ВАКЦИНА ГЕПАТИТА В  (Регевак В)рекомбинантная дрожжевая жидкая сусп.д/в/м введ.20мкг/мл (1амп-1мл) доза
ВАКЦИНА ГЕПАТИТА В рекомбинантная дрожжевая  сусп. для в/м введ. 20 мкг/1мл
ВАКЦИНА ГЕПАТИТА В рекомбинантная дрожжевая  сусп. для в/м введ. 20 мкг/1мл
ВАКЦИНА ИНФАНРИКС   1шприц/1доза
ВАКЦИНА КОРЕВАЯ КУЛЬТУРАЛЬНАЯ  1 доза/1 ампула 0,5 мл
ВАКЦИНА КОРЕВАЯ КУЛЬТУРАЛЬНАЯ  1 доза/1 ампула 0,5 мл
ВАКЦИНА КОРЕВАЯ КУЛЬТУРАЛЬНАЯ  1 доза/1 ампула 0,5 мл
ВАКЦИНА ПЕНТАКСИМ  1доза 0.5мл
ВАКЦИНА ПЕНТАКСИМ  1доза 0.5мл
ВАКЦИНА ПРОТИВ КРАСНУХИ ЖИВАЯ культуральная  0,5мл/доза - 1 доза
ВАЛЕРИАНЫ НАСТОЙКА  фл. 25мл
ВАЛЕРИАНЫ ЭКСТРАКТ  0,02 таб №50
ВАЛЗ  Н 0,16/0,0125 № 28 тб
ВАЛИДОЛ **  таб. 60мг №10
ВАЛИДОЛ **  таб. 60мг №10
ВАЛОКОРДИН  фл. 20мл
ВАЛТРЕКС  тб. п/о 500мг №42
ВАЛТРЕКС  тб. п/о 500мг №42
ВАЛТРЕКС  тб. п/о 500мг №42
ВАЛЬДОКСАН  тб. 25мг №98
ВАЛЬСАКОР  тб. 0,08 № 30
ВАЛЬСАКОР  тб. 0,08 № 30
ВАЛЬСАКОР  тб. 0,08 № 30
ВАП 20  20мкг/мл 1мл №10
ВАП 20  20мкг/мл 1мл №10
ВАП 20  20мкг/мл 1мл №10
ВАРФАРИН  таб. 2.5мг № 50
ВАРФАРИН  таб. 2.5мг № 50
ВАРФАРИН  таб. 2.5мг № 50
ВАРФАРИН  таб. 2.5мг №100
ВЕНОФЕР  100мг/5мл №5
ВЕНОФЕР  100мг/5мл №5
ВЕНОФЕР  100мг/5мл №5
ВЕНОФЕР  100мг/5мл №5
ВЕНОФЕР  100мг/5мл №5
ВЕНОФЕР  100мг/5мл №5
ВЕНОФЕР  100мг/5мл №5
ВЕНОФЕР  100мг/5мл №5
ВЕНОФУНДИН  раст.6%-500,0
ВЕНОФУНДИН  раст.6%-500,0
ВЕНОФУНДИН  раст.6%-500,0
ВЕНОФУНДИН  раст.6%-500,0
ВЕНОФУНДИН  раст.6%-500,0
ВЕНОФУНДИН  раст.6%-500,0
ВЕНОФУНДИН  раст.6%-500,0
ВЕНТОЛИН  аэр. 100мкг/доза 200доз
ВЕРАПАМИЛ   ** таб. п/обол. 40мг №50
ВЕРАПАМИЛ   ** таб. п/обол. 40мг №50
ВЕРАПАМИЛ   ** таб. п/обол. 40мг №50
ВЕРАПАМИЛ   ** таб. п/обол. 40мг №50
ВЕРАПАМИЛ   ** таб. п/обол. 80мг №20
ВЕРАПАМИЛ   ** таб. п/обол. 80мг №50
ВЕРАПАМИЛ   амп. 0,25% 2мл №10
ВЕРАПАМИЛ   амп. 0,25% 2мл №10
ВЕРАПАМИЛ   амп. 0,25% 2мл №10
ВЕРОШПИРОН  капс. 100мг №30
ВЕРОШПИРОН  капс. 100мг №30
ВЕРОШПИРОН  капс. 100мг №30
ВЕРОШПИРОН  капс. 100мг №30
ВЕРОШПИРОН  капс. 50мг №30
ВЕРОШПИРОН  капс. 50мг №30
ВЕРОШПИРОН  таб. 25мг №20
ВЕРОШПИРОН  таб. 25мг №20
ВЕРОШПИРОН  таб. 25мг №20
ВЕРСАТИС  ТТС №5
ВЕРСАТИС  ТТС №5
ВЕССЕЛ ДУЭ Ф  амп. 600ЕД 2мл №10
ВИГАНТОЛ  р-р масл. 10 мл
ВИЗИН  капли глазные фл. 15мл
ВИКАСОЛ  амп. 1% 1мл №10
ВИКАСОЛ  амп. 1% 1мл №10
ВИКАСОЛ  амп. 1% 1мл №10
ВИКАСОЛ  амп. 1% 1мл №10
ВИКАСОЛ  амп. 1% 2мл №10
ВИКАСОЛ  амп. 1% 2мл №10
ВИНКРИСТИН   р-р в/в 1мг/мл 2мл
ВИНКРИСТИН   р-р в/в 1мг/мл 2мл
ВИНПОЦЕТИН  амп. 5мг/мл 2мл №10
ВИНПОЦЕТИН  амп. 5мг/мл 2мл №10
ВИНПОЦЕТИН  амп. 5мг/мл 2мл №10
ВИНПОЦЕТИН  амп. 5мг/мл 2мл №10
ВИНПОЦЕТИН  амп. 5мг/мл 2мл №10
ВИНПОЦЕТИН  амп. 5мг/мл 2мл №10
ВИНПОЦЕТИН  амп. 5мг/мл 2мл №10
ВИНПОЦЕТИН  амп. 5мг/мл 2мл №10
ВИТАМИН В 1  амп. 5% 1мл №10
ВИТАМИН В 6  амп. 5% 1мл №10
ВИТАМИН Е  капс 100мг №10
ВИШНЕВСКОГО ЛИНИМЕНТ **  туба 30г
ВОДА ДЛЯ ИНЪЕКЦИЙ  амп. 5мл №10
ВОДА ДЛЯ ИНЪЕКЦИЙ  амп. 5мл №10
ВОДА ДЛЯ ИНЪЕКЦИЙ  фл. 100мл
ВОДА ДЛЯ ИНЪЕКЦИЙ  фл. 500мл
ВОДА ДЛЯ ИНЪЕКЦИЙ  фл. 500мл
ВОДА ДЛЯ ИНЪЕКЦИЙ  фл. 500мл
ВОДА ДЛЯ ИНЪЕКЦИЙ  фл. 500мл
ВОДА ДЛЯ ИНЪЕКЦИЙ  фл. 500мл
ВОДА ДЛЯ ИНЪЕКЦИЙ  фл. 500мл
ВОЛЬТАРЕН  эмульгель 1%-100,0
ГАЛАЗОЛИН  фл. 0.1% 10мл
ГАЛАЗОЛИН  фл. 0.1% 10мл
ГАЛВУС **  таб. 50мг №28
ГАЛОПЕРИДОЛ  амп. 5мг/мл 1мл № 5
ГАЛОПЕРИДОЛ  амп. 5мг/мл 1мл № 5
ГАЛОПЕРИДОЛ  амп. 5мг/мл 1мл № 5
ГАЛОПЕРИДОЛ  амп. 5мг/мл 1мл № 5
ГАЛОПЕРИДОЛ  амп. 5мг/мл 1мл № 5
ГАЛОПЕРИДОЛ  амп. 5мг/мл 1мл № 5
ГАНАТОН  тб. 50мг №10
ГЕКСОРАЛ  аэр.0,2%-40мл
ГЕКСОРАЛ  аэр.0,2%-40мл
ГЕЛОФУЗИН  фл. 500мл
ГЕЛОФУЗИН  фл. 500мл
ГЕЛОФУЗИН  фл. 500мл
ГЕЛОФУЗИН  фл. 500мл
ГЕЛОФУЗИН  фл. 500мл
ГЕЛОФУЗИН  фл. 500мл
ГЕЛОФУЗИН  фл. 500мл
ГЕЛОФУЗИН  фл. 500мл
ГЕЛОФУЗИН  фл. 500мл
ГЕЛОФУЗИН  фл. 500мл
ГЕЛОФУЗИН  фл. 500мл
ГЕМЦИТАБИН  лиоф. д/ин. 1500мг фл. №1
ГЕМЦИТАБИН  лиоф. д/ин. 1500мг фл. №1
ГЕМЦИТАБИН  лиоф. д/ин. 1500мг фл. №1
ГЕМЦИТАБИН  лиоф. д/инф. 1000мг №1
ГЕМЦИТАБИН  лиоф. д/инф. 200мг №1
ГЕПА-МЕРЦ  амп. 5г 10мл №10
ГЕПА-МЕРЦ  амп. 5г 10мл №10
ГЕПА-МЕРЦ  амп. 5г 10мл №10
ГЕПА-МЕРЦ  гранулы пакет 5,0 №30
ГЕПАРИН  ** фл. 5тЕД/мл 5мл №5
ГЕПАРИН  -натрий 5тМЕ/мл 5мл №10
ГЕПАРИН  -натрий 5тМЕ/мл 5мл №10
ГЕПАРИН  -натрий 5тМЕ/мл 5мл №10
ГЕПАРИН  -натрий 5тМЕ/мл 5мл №10
ГЕПАРИН  -натрий 5тМЕ/мл 5мл №10
ГЕПАРИН  -натрий 5тМЕ/мл 5мл №10
ГЕПАРИН  -натрий 5тМЕ/мл 5мл №10
ГЕПАРИНОВАЯ МАЗЬ **  туба 25г
ГЕПАРИНОВАЯ МАЗЬ **  туба 25г
ГЕПТРАЛ  пор. д/ин. фл. 400мг №5+р-ль
ГЕПТРАЛ  пор. д/ин. фл. 400мг №5+р-ль
ГЕПТРАЛ  пор. д/ин. фл. 400мг №5+р-ль
ГЕПТРАЛ  пор. д/ин. фл. 400мг №5+р-ль
ГЕПТРАЛ  пор. д/ин. фл. 400мг №5+р-ль
ГЕПТРАЛ  пор. д/ин. фл. 400мг №5+р-ль
ГЕПТРАЛ  пор. д/ин. фл. 400мг №5+р-ль
ГЕПТРАЛ  пор. д/ин. фл. 400мг №5+р-ль
ГЕПТРАЛ  пор. д/ин. фл. 400мг №5+р-ль
ГЕПТРАЛ  таб. п/обол. 400мг №20
ГЕПТРАЛ  таб. п/обол. 400мг №20
ГИАЛГАН  20мг/2мл шпр №5
ГИДРОКОРТИЗОН  ** мазь. 1% 10г
ГИДРОКОРТИЗОН  сусп. д\ин. 125мг/5мл №1
ГИДРОКОРТИЗОН  сусп. д\ин. 125мг/5мл №1
ГИДРОКОРТИЗОН  сусп. д\ин. 125мг/5мл №1
ГИКАМТИН  фл. 4мг №5
ГИОКСИЗОН  мазь 10г
ГИПОТИАЗИД  таб.  25мг №20
ГИПОТИАЗИД  таб.  25мг №20
ГЛИАТИЛИН  амп. 1г 4мл №3
ГЛИАТИЛИН  капс. 400мг №14
ГЛИАТИЛИН  капс. 400мг №14
ГЛИБОМЕТ  тб. 2,5мг+400мг №40
ГЛИЦЕРИН  супп. №10
ГЛИЦЕРИН  супп. №10
ГЛИЦИН **  таб. 100мг №50
ГЛИЦИН **  таб. 100мг №50
ГЛИЦИН **  таб. 100мг №50
ГЛУТОКСИМ  амп. 3% 1мл №5
ГЛЮКОЗА  амп. 40% 10мл №10
ГЛЮКОЗА  амп. 40% 10мл №10
ГЛЮКОЗА  амп. 40% 10мл №10
ГЛЮКОЗА  амп. 40% 10мл №10
ГЛЮКОЗА  амп. 40% 10мл №10
ГЛЮКОЗА  амп. 40% 10мл №10
ГЛЮКОЗА  фл. 10% 250мл
ГЛЮКОЗА  фл. 10% 500мл
ГЛЮКОЗА  фл. 5% 250мл
ГЛЮКОЗА  фл. 5% 250мл
ГЛЮКОЗА  фл. 5% 250мл
ГЛЮКОЗА  фл. 5% 250мл
ГЛЮКОЗА  фл. 5% 250мл
ГЛЮКОЗА  фл. 5% 250мл
ГЛЮКОЗА  фл. 5% 500мл
ГЛЮКОЗА  фл. 5% 500мл
ГЛЮКОЗА  фл. 5% 500мл
ГЛЮКОЗА  фл. 5% 500мл
ГЛЮКОЗА  фл. 5% 500мл
ГЛЮКОЗА  фл. 5% 500мл
